Student_ID,Student_Name,Gender,Age,Attendance (%),GPA (last semester),Study_Hours/week,Participation (%),Assignments_Score,Midterm_Score,Final_Score,Internet_Access,Part_time_Job,Dropout_Risk,Average_Score,GPA_Level
SML0001,Kiara Mehta,Male,19,58.0,5.45,12.8,28.0,60.0,69.0,47.0,No,No,No,58.666666666666664,Medium
SCS0002,Sai Verma,Female,24,80.0,5.51,17.0,34.0,53.0,69.0,66.0,Yes,No,No,62.666666666666664,Medium
SCS0003,Aditya Kumar,Female,25,44.0,6.23,15.3,42.0,58.0,67.0,40.0,Yes,Yes,No,55.0,Medium
SAI0004,Myra Patel,Female,17,69.0,6.94,10.1,46.0,89.0,76.0,63.0,No,No,No,76.0,Medium
SDS0005,Myra Rao,Male,19,82.0,7.6,19.4,57.0,61.0,81.0,49.0,Yes,No,No,63.666666666666664,High
SCS0006,Myra Jain,Male,22,57.0,5.54,19.1,36.0,63.0,31.0,45.0,Yes,No,No,46.333333333333336,Medium
SAI0007,Anaya Mehta,Male,20,82.0,8.29,20.6,49.0,77.0,84.0,93.0,No,No,No,84.66666666666667,High
SML0008,Sai Patel,Female,24,49.0,6.17,19.3,37.0,58.0,48.0,69.0,Yes,No,No,58.333333333333336,Medium
SCS0009,Vivaan Reddy,Female,25,67.0,6.47,11.0,35.0,62.0,67.0,66.0,No,No,No,65.0,Medium
SAI0010,Sai Jain,Female,23,48.0,5.6,13.9,30.0,48.0,42.0,59.0,Yes,No,No,49.666666666666664,Medium
SAI0011,Vivaan Patel,Male,17,40.0,3.59,5.9,29.0,42.0,22.0,8.0,No,Yes,No,24.0,Low
SAI0012,Diya Patel,Other,18,88.0,7.56,22.6,55.0,90.0,95.0,70.0,No,No,No,85.0,High
SDS0013,Vivaan Sharma,Female,17,83.0,7.38,18.6,51.0,79.0,87.0,64.0,Yes,No,No,76.66666666666667,Medium
SCS0014,Anaya Verma,Male,25,62.0,6.16,18.9,32.0,63.0,62.0,52.0,Yes,No,No,59.0,Medium
SML0015,Aarav Jain,Male,20,68.0,6.58,21.9,41.0,56.0,68.0,75.0,Yes,No,No,66.33333333333333,Medium
SCS0016,Vivaan Patel,Male,24,82.0,7.12,21.3,42.0,76.0,68.0,58.0,Yes,No,No,67.33333333333333,Medium
SDS0017,Anaya Sharma,Male,21,48.0,4.62,12.9,36.0,68.0,53.0,37.0,No,Yes,No,52.666666666666664,Medium
SML0018,Sai Verma,Female,21,68.0,5.87,9.7,37.0,55.0,51.0,27.0,No,Yes,No,44.333333333333336,Medium
SDS0019,Aarav Mehta,Male,21,72.0,7.45,18.6,43.0,71.0,86.0,70.0,No,No,No,75.66666666666667,Medium
SAI0020,Sai Verma,Male,21,63.0,4.99,9.8,35.0,44.0,47.0,34.0,Yes,Yes,No,41.666666666666664,Medium
SAI0021,Arjun Mehta,Female,19,72.0,6.85,15.4,42.0,64.0,63.0,70.0,Yes,No,No,65.66666666666667,Medium
SCS0022,Aditya Jain,Male,22,51.0,4.87,10.3,39.0,21.0,49.0,34.0,Yes,Yes,No,34.666666666666664,Medium
SML0023,Aarav Mehta,Male,17,58.0,7.06,12.7,40.0,75.0,64.0,72.0,Yes,No,No,70.33333333333333,Medium
SAI0024,Diya Singh,Male,24,67.0,6.46,6.4,35.0,56.0,69.0,62.0,No,Yes,No,62.333333333333336,Medium
SML0025,Aarav Reddy,Male,20,40.0,4.56,8.1,18.0,30.0,39.0,71.0,No,Yes,No,46.666666666666664,Medium
SCS0026,Sai Patel,Female,22,73.0,7.9,20.7,50.0,87.0,85.0,86.0,Yes,No,No,86.0,High
SAI0027,Kiara Kumar,Male,18,48.0,5.62,7.3,32.0,45.0,71.0,29.0,No,Yes,No,48.333333333333336,Medium
SDS0028,Ishita Verma,Female,18,45.0,5.53,13.9,27.0,52.0,47.0,36.0,No,No,No,45.0,Medium
SDS0029,Ishita Patel,Female,24,89.0,6.74,26.4,53.0,82.0,66.0,68.0,Yes,No,No,72.0,Medium
SCS0030,Ishita Sharma,Male,17,92.0,7.88,24.8,57.0,65.0,84.0,65.0,Yes,No,No,71.33333333333333,High
SDS0031,Arjun Rao,Female,24,72.0,5.28,21.4,37.0,37.0,48.0,8.0,Yes,No,No,31.0,Medium
